SN1986G & 256 & -17$\pm$244 & -1133$\pm$263 & 9614$\pm$158 & 2979$\pm$306 & 0.170$\pm$0.008 & -575$\pm$179 & 0.032$\pm$0.013 & 1 \\ 
SN1990N & 227 & -1691$\pm$241 & -3581$\pm$427 & 8933$\pm$213 & 6506$\pm$149 & 0.108$\pm$0.008 & -2636$\pm$245 & 0.020$\pm$0.008 & 2 \\ 
SN1990N & 280 & -1350$\pm$375 & -1821$\pm$916 & 9330$\pm$390 & 6690$\pm$1307 & 0.158$\pm$0.065 & -1586$\pm$495 & 0.029$\pm$0.017 & 2 \\ 
SN1990N & 305 & -1312$\pm$234 & -1961$\pm$459 & 9075$\pm$131 & 8217$\pm$352 & 0.192$\pm$0.018 & -1637$\pm$257 & 0.036$\pm$0.015 & 2 \\ 
SN1998bu & 237 & -1379$\pm$248 & -1704$\pm$287 & 8007$\pm$241 & 5642$\pm$305 & 0.487$\pm$0.019 & -1542$\pm$190 & 0.090$\pm$0.036 & BSNIP \\ 
SN1998bu & 281 & -1455$\pm$260 & -1732$\pm$308 & 8325$\pm$144 & 4861$\pm$359 & 0.357$\pm$0.011 & -1594$\pm$202 & 0.066$\pm$0.027 & BSNIP \\ 
SN1999aa & 258 & 115$\pm$265 & -209$\pm$279 & 8077$\pm$106 & 3402$\pm$221 & 0.138$\pm$0.010 & -46$\pm$192 & 0.026$\pm$0.010 & BSNIP \\ 
SN2002bo & 311 & 1324$\pm$260 & 1823$\pm$421 & 8063$\pm$1171 & 7194$\pm$229 & 0.854$\pm$0.153 & 1573$\pm$247 & 0.158$\pm$0.069 & 3 \\ 
SN2003du & 219 & -1994$\pm$292 & -3010$\pm$735 & 8159$\pm$356 & 8121$\pm$812 & 0.323$\pm$0.085 & -2502$\pm$395 & 0.060$\pm$0.029 & 6 \\ 
SN2003gs & 207 & 1604$\pm$234 & 1356$\pm$256 & 10954$\pm$243 & 3709$\pm$25 & 0.160$\pm$0.006 & 1480$\pm$173 & 0.030$\pm$0.012 & BSNIP \\ 
SN2003hv & 319 & -2582$\pm$246 & -3716$\pm$315 & 8688$\pm$204 & 5462$\pm$562 & 0.563$\pm$0.052 & -3149$\pm$200 & 0.104$\pm$0.043 & 7 \\ 
SN2003kf & 400 & 304$\pm$396 & 117$\pm$729 & 10732$\pm$214 & 4962$\pm$1596 & 0.144$\pm$0.021 & 210$\pm$415 & 0.027$\pm$0.011 & CfA \\ 
SN2004eo & 227 & -1029$\pm$247 & -2346$\pm$348 & 8363$\pm$149 & 8699$\pm$316 & 0.459$\pm$0.039 & -1688$\pm$213 & 0.085$\pm$0.035 & 8 \\ 
SN2005cf & 317 & 216$\pm$444 & 308$\pm$537 & 9055$\pm$250 & 5808$\pm$274 & 0.165$\pm$0.018 & 262$\pm$348 & 0.031$\pm$0.013 & BSNIP \\ 
SN2006X & 276 & 2379$\pm$273 & 2383$\pm$263 & 8586$\pm$323 & 4833$\pm$60 & 0.398$\pm$0.030 & 2381$\pm$189 & 0.074$\pm$0.030 & BSNIP \\ 
SN2006X & 359 & 2740$\pm$235 & 2496$\pm$245 & 9238$\pm$214 & 5291$\pm$73 & 0.531$\pm$0.024 & 2618$\pm$170 & 0.098$\pm$0.040 & BSNIP \\ 
SN2007af & 303 & 402$\pm$227 & 332$\pm$363 & 7787$\pm$387 & 5748$\pm$247 & 0.254$\pm$0.030 & 367$\pm$214 & 0.047$\pm$0.020 & CfA \\ 
SN2007le & 306 & 1481$\pm$248 & 1599$\pm$297 & 8872$\pm$296 & 5204$\pm$78 & 0.247$\pm$0.019 & 1540$\pm$193 & 0.046$\pm$0.019 & BSNIP \\ 
SN2008Q & 200 & -2730$\pm$309 & -1697$\pm$221 & 10661$\pm$227 & 4183$\pm$82 & 0.394$\pm$0.023 & -2213$\pm$190 & 0.073$\pm$0.030 & BSNIP \\ 
SN2011by & 207 & -1531$\pm$277 & -2830$\pm$485 & 7718$\pm$281 & 5568$\pm$439 & 0.246$\pm$0.029 & -2181$\pm$279 & 0.046$\pm$0.019 & 9 \\ 
SN2011by & 311 & -1064$\pm$212 & -1711$\pm$242 & 8016$\pm$158 & 5099$\pm$40 & 0.318$\pm$0.013 & -1387$\pm$161 & 0.059$\pm$0.024 & 9 \\ 
SN2011fe & 203 & -1141$\pm$210 & -2210$\pm$238 & 8473$\pm$75 & 5629$\pm$54 & 0.222$\pm$0.007 & -1675$\pm$158 & 0.041$\pm$0.016 & 10 \\ 
SN2011fe & 224 & -1026$\pm$229 & -2070$\pm$308 & 8195$\pm$130 & 5732$\pm$146 & 0.254$\pm$0.012 & -1548$\pm$192 & 0.047$\pm$0.019 & 10 \\ 
SN2011fe & 309 & -1066$\pm$250 & -1076$\pm$331 & 8379$\pm$218 & 7106$\pm$225 & 0.395$\pm$0.022 & -1071$\pm$207 & 0.073$\pm$0.030 & 10 \\ 
SN2011fe & 345 & -638$\pm$251 & -1295$\pm$284 & 8558$\pm$109 & 6955$\pm$128 & 0.422$\pm$0.014 & -966$\pm$189 & 0.078$\pm$0.031 & 10 \\ 
SN2011fe & 378 & -340$\pm$296 & -1047$\pm$355 & 9109$\pm$292 & 7014$\pm$225 & 0.397$\pm$0.038 & -693$\pm$231 & 0.074$\pm$0.030 & 10 \\ 
SN2012cg & 286 & -1069$\pm$223 & -1825$\pm$354 & 7857$\pm$169 & 5625$\pm$95 & 0.187$\pm$0.005 & -1447$\pm$209 & 0.035$\pm$0.014 & 11 \\ 
SN2012cg & 342 & -1109$\pm$234 & -840$\pm$315 & 8771$\pm$106 & 7316$\pm$148 & 0.267$\pm$0.010 & -974$\pm$196 & 0.050$\pm$0.020 & 12 \\ 
SN2012fr & 222 & 2047$\pm$265 & 2939$\pm$400 & 8078$\pm$97 & 5672$\pm$159 & 0.144$\pm$0.007 & 2493$\pm$240 & 0.027$\pm$0.011 & 13 \\ 
SN2012fr & 261 & 2052$\pm$230 & 2510$\pm$495 & 8064$\pm$1133 & 5262$\pm$95 & 0.159$\pm$0.012 & 2281$\pm$273 & 0.029$\pm$0.012 & 13 \\ 
SN2012fr & 340 & 2116$\pm$242 & 2686$\pm$236 & 8689$\pm$257 & 5086$\pm$61 & 0.285$\pm$0.013 & 2401$\pm$169 & 0.053$\pm$0.021 & 13 \\ 
SN2012fr & 367 & 2130$\pm$267 & 3263$\pm$252 & 9212$\pm$1022 & 4961$\pm$440 & 0.225$\pm$0.030 & 2697$\pm$184 & 0.042$\pm$0.018 & 13 \\ 
SN2012hr & 284 & 133$\pm$241 & 71$\pm$649 & 8392$\pm$357 & 7594$\pm$891 & 0.168$\pm$0.042 & 102$\pm$346 & 0.031$\pm$0.015 & 13 \\ 
SN2013aa & 400 & -738$\pm$238 & -1150$\pm$262 & 8181$\pm$120 & 6999$\pm$226 & 0.283$\pm$0.014 & -944$\pm$177 & 0.053$\pm$0.021 & 14 \\ 
SN2013cs & 261 & 1477$\pm$234 & 2634$\pm$247 & 9293$\pm$68 & 4854$\pm$74 & 0.147$\pm$0.003 & 2055$\pm$170 & 0.027$\pm$0.011 & 14 \\ 
SN2013cs & 303 & 1352$\pm$247 & 1130$\pm$368 & 7847$\pm$166 & 6717$\pm$165 & 0.254$\pm$0.011 & 1241$\pm$221 & 0.047$\pm$0.019 & 12 \\ 
SN2013dy & 333 & -1169$\pm$224 & -1629$\pm$260 & 7600$\pm$78 & 6787$\pm$229 & 0.223$\pm$0.009 & -1399$\pm$171 & 0.041$\pm$0.017 & 15 \\ 
SN2013gy & 275 & -389$\pm$211 & -533$\pm$427 & 8140$\pm$218 & 7166$\pm$170 & 0.324$\pm$0.013 & -461$\pm$238 & 0.060$\pm$0.024 & 13 \\ 
SN2014J & 263 & 550$\pm$217 & 595$\pm$312 & 8313$\pm$133 & 7224$\pm$253 & 0.241$\pm$0.018 & 572$\pm$190 & 0.045$\pm$0.018 & 10 \\ 
SN2014J & 303 & 664$\pm$222 & 485$\pm$333 & 8072$\pm$135 & 7222$\pm$143 & 0.289$\pm$0.012 & 574$\pm$200 & 0.053$\pm$0.022 & 10 \\ 
